remarks,current_cin,to_delete,replace,cin_1,company_name_1,cin_2,company_name_2,cin_3,company_name_3
Company Names aren't Matching,CIN-2,U34101JH1993PTC005546,,U34101JH1993PTC005546,TATA CUMMINS,U34101PN1993PTC190262,TATA CUMMINS PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,L31909MH1981PLC025519,,L31909MH1981PLC025519,LUMAX AUTO TECHNOLOGIES,L31909DL1981PLC349793,LUMAX AUTO TECHNOLOGIES LIMITED,,
Company Names aren't Matching,CIN-2,U74999HR2003PTC042654,,U74999HR2003PTC042654,PACE COMMODITY BROKERS,U74999DL2003PTC425114,PACE COMMODITY BROKERS PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U72200KA2003PTC031420,,U72200KA2003PTC031420,GXS INDIA TECHNOLOGY CENTRE PRIVATE LIMITED,U72200TG2003PTC122304,GXS INDIA TECHNOLOGY CENTRE PRIVATELIMITED,,
Company Names aren't Matching,CIN-2,U72200DL2009FTC189031,,U72200DL2009FTC189031,SAMSUNG DATA SYSTEMS INDIA,U63000DL2009FTC189031,SAMSUNG DATA SYSTEMS INDIA PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U74990MH2009PTC190094,,U74990MH2009PTC190094,PRAMA HIKVISION INDIA,U36100MH2009PTC190094,PRAMA HIKVISION INDIA PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U65993TN2008PLC069837,,U65993TN2008PLC069837,HINDUJA LEYLAND FINANCE,U65993MH2008PLC384221,HINDUJA LEYLAND FINANCE LIMITED,,
Company Names aren't Matching,CIN-2,U74899DL1979PTC021613,,U74899DL1979PTC021613,V I C ENTERPRISES,U65100DL1979PTC021613,V I C ENTERPRISES PRIVATE LTD.,,
Company Names aren't Matching,CIN-2,U34300HR2006PLC036369,,U34300HR2006PLC036369,INDO AUTOTECH,U34300DL2006PLC425110,INDO AUTOTECH LTD.,,
Company Names aren't Matching,CIN-2,U74899DL2000PLC108467,,U74899DL2000PLC108467,SMC POWER GENERATION,U74899OR2000PLC029674,SMC POWER GENERATION LIMITED,,
